iter	Passed	Remaining
0	13	5229
1	25	5150
2	38	5069
3	51	5120
4	64	5099
5	76	5028
6	88	4996
7	100	4946
8	112	4917
9	124	4894
10	137	4883
11	149	4860
12	161	4850
13	173	4816
14	185	4794
15	197	4778
16	210	4788
17	222	4756
18	233	4727
19	245	4708
20	258	4693
21	270	4676
22	283	4675
23	294	4655
24	307	4641
25	318	4624
26	330	4608
27	342	4586
28	354	4566
29	365	4549
30	378	4538
31	391	4533
32	403	4523
33	415	4509
34	427	4494
35	440	4487
36	451	4466
37	462	4445
38	474	4431
39	491	4464
40	504	4450
41	517	4447
42	529	4433
43	541	4417
44	553	4406
45	566	4393
46	578	4380
47	591	4373
48	603	4358
49	615	4344
50	626	4323
51	638	4306
52	651	4300
53	663	4289
54	676	4279
55	687	4262
56	699	4244
57	711	4234
58	724	4222
59	735	4206
60	748	4196
61	761	4187
62	772	4171
63	784	4157
64	798	4151
65	810	4140
66	824	4135
67	836	4122
68	848	4107
69	860	4095
70	873	4082
71	885	4069
72	897	4055
73	908	4040
74	920	4026
75	932	4011
76	944	3998
77	956	3984
78	968	3972
79	980	3957
80	991	3942
81	1003	3929
82	1015	3916
83	1028	3905
84	1041	3894
85	1053	3881
86	1065	3869
87	1077	3856
88	1089	3843
89	1101	3830
90	1113	3818
91	1125	3805
92	1138	3793
93	1149	3778
94	1161	3767
95	1173	3753
96	1185	3741
97	1198	3728
98	1210	3716
99	1222	3703
100	1234	3691
101	1246	3679
102	1259	3668
103	1271	3654
104	1283	3642
105	1295	3629
106	1307	3617
107	1319	3604
108	1332	3594
109	1345	3582
110	1357	3571
111	1369	3558
112	1381	3545
113	1393	3532
114	1405	3519
115	1417	3507
116	1429	3494
117	1441	3481
118	1453	3470
119	1466	3459
120	1478	3445
121	1490	3432
122	1502	3419
123	1514	3406
124	1525	3393
125	1537	3380
126	1549	3366
127	1560	3353
128	1572	3339
129	1584	3327
130	1596	3315
131	1608	3302
132	1620	3289
133	1631	3276
134	1643	3263
135	1654	3248
136	1667	3236
137	1679	3225
138	1691	3211
139	1703	3200
140	1715	3187
141	1727	3175
142	1739	3162
143	1751	3150
144	1763	3137
145	1784	3141
146	1801	3137
147	1816	3129
148	1832	3123
149	1845	3113
150	1858	3101
151	1871	3090
152	1883	3077
153	1894	3063
154	1906	3051
155	1919	3038
156	1931	3026
157	1943	3014
158	1955	3000
159	1967	2988
160	1980	2976
161	1992	2963
162	2003	2950
163	2015	2937
164	2028	2925
165	2040	2912
166	2051	2899
167	2064	2887
168	2076	2874
169	2089	2863
170	2100	2850
171	2112	2837
172	2124	2824
173	2136	2811
174	2148	2798
175	2160	2786
176	2173	2774
177	2184	2761
178	2196	2749
179	2208	2736
180	2221	2724
181	2233	2712
182	2245	2699
183	2257	2687
184	2269	2674
185	2281	2662
186	2293	2649
187	2307	2638
188	2322	2629
189	2337	2620
190	2349	2607
191	2360	2594
192	2372	2581
193	2383	2567
194	2395	2554
195	2407	2542
196	2419	2530
197	2431	2517
198	2444	2505
199	2456	2493
200	2468	2481
201	2481	2468
202	2492	2455
203	2504	2443
204	2516	2430
205	2528	2418
206	2540	2405
207	2553	2394
208	2566	2382
209	2576	2368
210	2587	2354
211	2599	2342
212	2612	2330
213	2624	2318
214	2636	2305
215	2648	2292
216	2660	2280
217	2672	2267
218	2684	2255
219	2696	2243
220	2708	2230
221	2721	2218
222	2732	2205
223	2745	2193
224	2757	2181
225	2775	2173
226	2797	2168
227	2811	2158
228	2826	2147
229	2839	2135
230	2852	2123
231	2864	2111
232	2877	2099
233	2889	2086
234	2905	2076
235	2918	2065
236	2931	2053
237	2945	2041
238	2957	2029
239	2969	2017
240	2982	2005
241	2996	1993
242	3007	1980
243	3020	1968
244	3033	1956
245	3047	1944
246	3058	1931
247	3071	1919
248	3084	1907
249	3097	1895
250	3110	1883
251	3123	1871
252	3136	1859
253	3151	1848
254	3164	1836
255	3177	1824
256	3190	1812
257	3203	1800
258	3215	1787
259	3228	1775
260	3240	1762
261	3253	1751
262	3266	1739
263	3279	1726
264	3292	1714
265	3304	1702
266	3317	1690
267	3331	1678
268	3344	1666
269	3357	1654
270	3371	1642
271	3384	1630
272	3397	1617
273	3410	1605
274	3422	1593
275	3436	1581
276	3451	1569
277	3464	1557
278	3479	1546
279	3492	1534
280	3510	1524
281	3528	1513
282	3541	1501
283	3554	1489
284	3567	1476
285	3579	1464
286	3591	1451
287	3603	1438
288	3615	1426
289	3627	1413
290	3639	1400
291	3651	1387
292	3663	1375
293	3675	1362
294	3687	1350
295	3699	1337
296	3712	1324
297	3724	1312
298	3737	1300
299	3749	1287
300	3762	1275
301	3776	1263
302	3791	1251
303	3808	1240
304	3826	1229
305	3847	1219
306	3866	1209
307	3882	1197
308	3895	1185
309	3912	1173
310	3927	1161
311	3941	1149
312	3955	1137
313	3968	1124
314	3981	1112
315	3994	1099
316	4006	1087
317	4018	1074
318	4030	1061
319	4042	1048
320	4055	1036
321	4068	1023
322	4080	1010
323	4093	998
324	4105	985
325	4118	972
326	4130	960
327	4142	947
328	4155	934
329	4167	921
330	4179	909
331	4191	896
332	4205	883
333	4217	871
334	4230	858
335	4241	845
336	4255	833
337	4267	820
338	4283	808
339	4297	796
340	4315	784
341	4330	772
342	4344	759
343	4356	747
344	4373	735
345	4388	722
346	4400	710
