age,education_level,marital_status,num_dependents,region,employment_type,employment_years,months_employed,annual_income,monthly_income,savings_balance,investment_balance,credit_score,num_credit_lines,num_late_payments,credit_util_rate,loan_purpose,loan_amount,loan_term_months,interest_rate,monthly_payment,debt_to_income,loan_to_income,property_type,has_cosigner,num_prev_loans
23,Associate,Married,0,North,Employed,4.9,58,40486.74,3373.89,10384.97,1562.23,801,4,4,0.1013,Car,10359.97,60,9.68,218.51,0.0648,0.2559,Rent,0,2
62,Bachelor,Single,5,South,Employed,7.7,92,75988.78,6332.4,15988.11,2742.98,729,0,0,0.1785,Car,50051.19,48,5.64,1167.23,0.1843,0.6587,Own,0,4
55,Master,Married,3,West,Employed,10.3,123,95132.24,7927.69,43960.81,6762.37,623,12,0,0.0244,Medical,24531.45,60,6.42,479.03,0.0604,0.2579,Other,0,4
43,High School,Divorced,5,East,Part-Time,12.9,154,53472.98,4456.08,18226.27,1196.22,652,15,8,0.0909,Personal,20790.48,84,5.72,300.95,0.0675,0.3888,Rent,0,7
42,High School,Married,2,North,Employed,12.7,152,50078.83,4173.24,8701.24,24824.66,815,9,9,0.2655,Car,30576.99,60,7.79,616.88,0.1478,0.6106,Mortgage,0,1
66,Bachelor,Single,4,Central,Unemployed,9.5,113,79919.96,6660.0,29127.06,2027.27,639,0,3,0.3259,Personal,25475.84,48,6.6,605.28,0.0909,0.3188,Mortgage,0,4
22,Master,Married,1,North,Retired,8.3,99,66765.44,5563.79,14502.59,29238.19,737,14,7,0.6722,Business,3097.2,120,5.68,33.9,0.0061,0.0464,Own,1,3
57,Bachelor,Widowed,2,North,Employed,6.4,76,85416.71,7118.06,3288.55,43968.13,843,6,9,0.2823,Medical,27450.03,84,13.46,506.28,0.0711,0.3214,Mortgage,0,5
29,Master,Married,2,South,Part-Time,6.8,81,72773.25,6064.44,403.36,1903.81,676,3,0,0.3226,Car,45755.98,36,4.44,1359.84,0.2242,0.6287,Rent,1,6
23,Bachelor,Married,3,North,Employed,4.1,49,49365.8,4113.82,3201.82,7093.56,679,5,5,0.0571,Medical,43889.3,48,6.97,1050.32,0.2553,0.8891,Rent,0,3
48,Associate,Single,1,East,Employed,5.9,70,43925.97,3660.5,7957.64,7674.97,850,0,3,0.1319,Personal,8894.57,120,6.07,99.07,0.0271,0.2025,Rent,0,6
73,Bachelor,Married,3,East,Employed,9.8,117,98366.08,8197.17,21733.42,8591.36,592,15,2,0.1102,Medical,41986.17,60,8.93,870.08,0.1061,0.4268,Rent,0,5
