Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.8796428571428572,0.6265313165606201,0.6265313165606202,0.855806986797076,0.5174930095672607
LinearDiscriminantAnalysis,0.8728571428571429,0.6423021229751797,0.6423021229751799,0.8555424409806692,0.07922101020812988
LogisticRegression,0.8782142857142857,0.6173899349167723,0.6173899349167723,0.8522883232699449,0.030612945556640625
XGBClassifier,0.8692857142857143,0.6267179071911717,0.6267179071911717,0.849386391174692,0.12126302719116211
CalibratedClassifierCV,0.8757142857142857,0.6117771432194836,0.6117771432194835,0.8490984328755338,0.12834477424621582
GaussianNB,0.8535714285714285,0.6632397746775205,0.6632397746775205,0.8472413567549035,0.01673579216003418
RandomForestClassifier,0.8739285714285714,0.6065811918723408,0.6065811918723408,0.8464466000874674,1.6476340293884277
LGBMClassifier,0.8707142857142857,0.6109361860043514,0.6109361860043515,0.8458832199546485,0.5047059059143066
LinearSVC,0.8764285714285714,0.5997324321542954,0.5997324321542954,0.8456587513603139,0.5275979042053223
SGDClassifier,0.8735714285714286,0.6032573838434343,0.6032573838434343,0.8451900499284246,0.06188488006591797
RidgeClassifierCV,0.8760714285714286,0.5943316988894999,0.5943316988894999,0.8436063933297693,0.0237429141998291
RidgeClassifier,0.8760714285714286,0.5943316988894999,0.5943316988894999,0.8436063933297693,0.027486085891723633
BaggingClassifier,0.8657142857142858,0.6069798409353856,0.6069798409353857,0.8417876554630732,0.6800601482391357
SVC,0.8739285714285714,0.5868504021313952,0.5868504021313952,0.8397778877009101,1.7006008625030518
ExtraTreesClassifier,0.8692857142857143,0.5934871034169474,0.5934871034169473,0.8395976672146034,0.738286018371582
QuadraticDiscriminantAnalysis,0.8328571428571429,0.6812668204436803,0.6812668204436804,0.8362778954908825,0.03555607795715332
KNeighborsClassifier,0.865,0.5878706734622385,0.5878706734622385,0.8353976711087351,0.25983285903930664
BernoulliNB,0.815,0.6666919612182549,0.6666919612182549,0.822121469978959,0.05471515655517578
NearestCentroid,0.8064285714285714,0.708420694824007,0.7084206948240072,0.8214261490683228,0.01101994514465332
LabelPropagation,0.8171428571428572,0.5921347111587434,0.5921347111587434,0.8099503053975783,1.8033709526062012
LabelSpreading,0.8167857142857143,0.5919262909836704,0.5919262909836704,0.8096967300794932,3.1156251430511475
DecisionTreeClassifier,0.7946428571428571,0.6111965812854275,0.6111965812854274,0.8002217379815433,0.12726402282714844
ExtraTreeClassifier,0.7985714285714286,0.5968738013241178,0.5968738013241177,0.8000046373064277,0.034748077392578125
Perceptron,0.7746428571428572,0.6981790001860709,0.6981790001860709,0.7979447759594984,0.017935752868652344
PassiveAggressiveClassifier,0.8092857142857143,0.5439340373534692,0.5439340373534692,0.7933541570037106,0.021701335906982422
DummyClassifier,0.8567857142857143,0.5,0.5,0.7907016459209187,0.015036344528198242
